customer_id,customer_name,email,phone,gender,date_of_birth,city,state,country,signup_date,cuatomer_segment,is_subscribed_newsletter
100000,Chaman Khurana,chaman.khurana913@outlook.com,07701436349,Female,1978-04-29,Indore,Madhya Pradesh,India,2024-09-19,HIGH,1
100001,Orinder Sandal,orinder.sandal670@yahoo.com,04431351823,Male,1970-12-31,Chandigarh,Chandigarh,India,2023-12-29,HIGH,0
100003,Edhitha Swaminathan,edhitha.swaminathan472@yahoo.com,07752047116,Female,1984-03-20,Pune,Maharashtra,India,2023-02-07,MEDIUN,0
100004,Avni Doshi,avni.doshi247@gmail.com,8699938677,Female,1974-11-20,Indore,Madhya Pradesh,India,2024-02-24,LOW,1
100006,Vrinda Manne,vrinda.manne240@outlook.com,3493618324,Female,2000-04-16,Ahmedabad,Gujarat,India,2025-01-11,MEDIUN,1
100007,Bimala Bhasin,bimala.bhasin310@yahoo.com,7174648877,Female,1964-06-22,Surat,Gujarat,India,2024-03-01,HIGH,1
100009,Hemangini Sarin,hemangini.sarin714@outlook.com,6551256746,Female,1999-08-31,Faridabad,Haryana,India,2023-08-20,HIGH,1
100010,Andrew Sha,andrew.sha879@outlook.com,08087603859,Male,1996-12-02,Pune,Maharashtra,India,2025-01-30,LOW,0
100011,Timothy Behl,timothy.behl398@yahoo.com,1093248086,Male,1965-02-01,Chandigarh,Chandigarh,India,2025-03-09,LOW,0
100012,Deepa Shenoy,deepa.shenoy53@yahoo.com,4677378263,Female,2004-11-11,Bengaluru,Karnataka,India,2024-12-11,HIGH,0
100015,Dev Thakkar,dev.thakkar795@outlook.com,8702621745,Male,1990-07-12,Pune,Maharashtra,India,2024-12-18,HIGH,0
100016,Rushil Buch,rushil.buch101@hotmail.com,00913431611,Male,1981-11-28,Bhopal,Madhya Pradesh,India,2025-10-11,LOW,0
100017,Mason Balakrishnan,mason.balakrishnan47@hotmail.com,6238692221,Male,1989-11-13,Surat,Gujarat,India,2024-01-17,MEDIUN,0
100018,Rayaan Khosla,rayaan.khosla303@hotmail.com,7407482175,Male,2008-01-08,Coimbatore,Tamil Nadu,India,2025-06-15,MEDIUN,0
100019,Mason Samra,mason.samra782@outlook.com,7136959440,Male,2007-07-22,Surat,Gujarat,India,2025-08-18,LOW,0
100021,Urvi Bandi,urvi.bandi860@gmail.com,6232858842,Female,1972-12-12,Delhi,Delhi,India,2025-07-12,HIGH,0
100024,Arin Barad,arin.barad18@outlook.com,8267586926,Male,1992-01-19,Jaipur,Rajasthan,India,2024-04-21,MEDIUN,1
100025,Wishi Reddy,wishi.reddy247@yahoo.com,07735158506,Female,1973-11-08,Hyderabad,Telangana,India,2023-12-08,MEDIUN,1
100026,Divya Sha,divya.sha471@hotmail.com,5329318393,Female,1999-08-22,Patna,Bihar,India,2025-01-31,HIGH,0
100027,Kamala   Narasimhan,kamala.narasimhan416@gmail.com,8421020539,Female,1976-02-26,Delhi,Delhi,India,2024-10-09,HIGH,0
100028,Harita Lanka,harita.lanka661@hotmail.com,07758917839,Female,1962-09-11,Bhopal,Madhya Pradesh,India,2023-01-20,LOW,0
100029,Yoshita Mitra,yoshita.mitra217@yahoo.com,6177115921,Female,1966-09-02,Delhi,Delhi,India,2024-06-16,HIGH,1
100030,Nicholas Raj,nicholas.raj184@gmail.com,06118367365,Male,2000-04-30,Jaipur,Rajasthan,India,2023-12-29,MEDIUN,0
100031,Sudiksha Sagar,sudiksha.sagar307@gmail.com,05271111615,Female,1999-07-30,Faridabad,Haryana,India,2023-09-23,LOW,0
100032,Bhanumati Narayan,bhanumati.narayan774@hotmail.com,4945198327,Female,1971-05-18,Surat,Gujarat,India,2025-08-12,HIGH,0
100033,Chatura Palla,chatura.palla101@gmail.com,3689980940,Male,1969-04-10,Patna,Bihar,India,2024-11-04,HIGH,0
100034,Nilima Nori,nilima.nori31@outlook.com,1201836675,Female,1968-03-02,Faridabad,Haryana,India,2025-04-27,LOW,1
100037,Ekapad Kumer,ekapad.kumer6@gmail.com,02268388516,Male,2001-12-23,Hyderabad,Telangana,India,2024-04-15,HIGH,0
100038,Anvi Sarin,anvi.sarin571@hotmail.com,9664160529,Female,1982-09-12,Indore,Madhya Pradesh,India,2025-01-07,HIGH,0
100039,Pratyush Chakrabarti,pratyush.chakrabarti885@outlook.com,6816453521,Male,1985-02-11,Guwahati,Assam,India,2025-05-26,HIGH,0
100040,Dakshesh Wali,dakshesh.wali702@yahoo.com,1243292127,Male,,Pune,Maharashtra,India,2025-06-19,LOW,1
100041,Vedika Sen,vedika.sen432@outlook.com,1774490581,Female,1975-07-07,Indore,Madhya Pradesh,India,2024-09-05,MEDIUN,1
100042,Upkaar Barad,upkaar.barad469@yahoo.com,09867980793,Male,1976-01-18,Bhopal,Madhya Pradesh,India,2025-01-19,LOW,0
