customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,state,country,signup_date,customer_segment,is_subscribed_newsletter
100000,Chaman,Khurana,chaman.khurana913@outlook.com,07701436349,Female,1978-04-29,Indore,Madhya Pradesh,India,2024-09-19,,1
100001,Orinder,Sandal,orinder.sandal670@yahoo.com,04431351823,Male,1970-12-31,Chandigarh,Chandigarh,India,2023-12-29,,0
100002,Warhi,Malhotra,warhi.malhotra775@gmail.com,+91-3524082400,Female,1987-03-05,Pune,Maharashtra,India,2024-09-21,,0
100003,Edhitha,Swaminathan,edhitha.swaminathan472@yahoo.com,07752047116,Female,1984-03-20,Pune,Maharashtra,India,2023-02-07,,0
100004,Avni,Doshi,avni.doshi247@gmail.com,8699938677,Female,1974-11-20,Indore,Madhya Pradesh,India,2024-02-24,,1
100005,Upadhriti,Mody,upadhriti.mody759@yahoo.com,+91-3412328120,Female,1980-03-22,Delhi,Delhi,India,2025-07-09,,0
100006,Vrinda,Manne,vrinda.manne240@outlook.com,3493618324,Female,2000-04-16,Ahmedabad,Gujarat,India,2025-01-11,,1
100007,Bimala,Bhasin,bimala.bhasin310@yahoo.com,+91-7174648877,Female,1964-06-22,Surat,Gujarat,India,2024-03-01,,1
100008,Anusha,Sankaran,anusha.sankaran642@yahoo.com,9904902787,Female,2004-08-01,Chandigarh,Chandigarh,India,2024-09-25,,1
100009,Hemangini,Sarin,hemangini.sarin714@outlook.com,6551256746,Female,1999-08-31,Faridabad,Haryana,India,2023-08-20,,1
100010,Andrew,Sha,andrew.sha879@outlook.com,08087603859,Male,1996-12-02,Pune,Maharashtra,India,2025-01-30,,0
100011,Timothy,Behl,timothy.behl398@yahoo.com,+91-1093248086,Male,1965-02-01,Chandigarh,Chandigarh,India,2025-03-09,,0
100012,Deepa,Shenoy,deepa.shenoy53@yahoo.com,+91-4677378263,Female,2004-11-11,Bengaluru,Karnataka,India,2024-12-11,,0
100013,Yashoda,Deshpande,yashoda.deshpande491@yahoo.com,4044997278,Female,1983-11-11,Coimbatore,Tamil Nadu,India,2024-11-11,,1
100014,Osha,Purohit,osha.purohit765@gmail.com,6360576627,Female,2006-12-04,Kolkata,West Bengal,India,2025-06-01,,1
